id,book_id,book,chapter,verse,text
223,1,Genesis,9,17,"And God said unto Noah, This is the token of the covenant, which I have established between me and all flesh that is upon the earth."
224,1,Genesis,9,18,"And the sons of Noah, that went forth of the ark, were Shem, and Ham, and Japheth: and Ham is the father of Canaan."
225,1,Genesis,9,19,These are the three sons of Noah: and of them was the whole earth overspread.
226,1,Genesis,9,20,"And Noah began to be an husbandman, and he planted a vineyard:"
227,1,Genesis,9,21,"And he drank of the wine, and was drunken; and he was uncovered within his tent."
228,1,Genesis,9,22,"And Ham, the father of Canaan, saw the nakedness of his father, and told his two brethren without."
229,1,Genesis,9,23,"And Shem and Japheth took a garment, and laid it upon both their shoulders, and went backward, and covered the nakedness of their father; and their faces were backward, and they saw not their father's nakedness."
230,1,Genesis,9,24,"And Noah awoke from his wine, and knew what his younger son had done unto him."
231,1,Genesis,9,25,"And he said, Cursed be Canaan; a servant of servants shall he be unto his brethren."
232,1,Genesis,9,26,"And he said, Blessed be the LORD God of Shem; and Canaan shall be his servant."
233,1,Genesis,9,27,"God shall enlarge Japheth, and he shall dwell in the tents of Shem; and Canaan shall be his servant."
234,1,Genesis,9,28,And Noah lived after the flood three hundred and fifty years.
235,1,Genesis,9,29,And all the days of Noah were nine hundred and fifty years: and he died.
236,1,Genesis,10,1,"Now these are the generations of the sons of Noah, Shem, Ham, and Japheth: and unto them were sons born after the flood."
237,1,Genesis,10,2,"The sons of Japheth; Gomer, and Magog, and Madai, and Javan, and Tubal, and Meshech, and Tiras."
238,1,Genesis,10,3,"And the sons of Gomer; Ashkenaz, and Riphath, and Togarmah."
239,1,Genesis,10,4,"And the sons of Javan; Elishah, and Tarshish, Kittim, and Dodanim."
240,1,Genesis,10,5,"By these were the isles of the Gentiles divided in their lands; every one after his tongue, after their families, in their nations."
241,1,Genesis,10,6,"And the sons of Ham; Cush, and Mizraim, and Phut, and Canaan."
242,1,Genesis,10,7,"And the sons of Cush; Seba, and Havilah, and Sabtah, and Raamah, and Sabtechah: and the sons of Raamah; Sheba, and Dedan."
243,1,Genesis,10,8,And Cush begat Nimrod: he began to be a mighty one in the earth.
244,1,Genesis,10,9,"He was a mighty hunter before the LORD: wherefore it is said, Even as Nimrod the mighty hunter before the LORD."
245,1,Genesis,10,10,"And the beginning of his kingdom was Babel, and Erech, and Accad, and Calneh, in the land of Shinar."
246,1,Genesis,10,11,"Out of that land went forth Asshur, and builded Nineveh, and the city Rehoboth, and Calah,"
247,1,Genesis,10,12,And Resen between Nineveh and Calah: the same is a great city.
248,1,Genesis,10,13,"And Mizraim begat Ludim, and Anamim, and Lehabim, and Naphtuhim,"
249,1,Genesis,10,14,"And Pathrusim, and Casluhim, (out of whom came Philistim,) and Caphtorim."
250,1,Genesis,10,15,"And Canaan begat Sidon his first born, and Heth,"
251,1,Genesis,10,16,"And the Jebusite, and the Amorite, and the Girgasite,"
252,1,Genesis,10,17,"And the Hivite, and the Arkite, and the Sinite,"
253,1,Genesis,10,18,"And the Arvadite, and the Zemarite, and the Hamathite: and afterward were the families of the Canaanites spread abroad."
